identifiant,section,element,selecteur_maquette,correspondant_v2,structure,contenu,composition,style,statut_global,note
PUB.01,PUB-S1 Hero (.pub-hero),Bloc entier — présence/ordre (h1 → tuiles catégories → chapô),".pub-hero-inner (h1, .pub-hero-side[nav, p])",.v2-pub-hero-inner,CONFORME,CONFORME,CONFORME,CONFORME,"Reprise Phase B (validation humaine) : structure et ordre recontrôlés (h1 seul à gauche, tuiles PUIS chapô à droite, plus d'eyebrow) — déjà corrigés lors du 1er passage, reconfirmés ici section par section"
PUB.02,PUB-S1 Hero (.pub-hero),Contenu du chapô (.pub-hero-copy),"« Des formats différents pour éclairer la pensée, approfondir la connaissance et donner une voix à la Parole. »",.v2-pub-hero-copy,CONFORME,CONFORME,CONFORME,CONFORME,"ÉCART RÉEL MAJEUR CORRIGÉ (validation humaine) : le texte affiché était l'ANCIEN chapô du site pré-maquette (« Rosée Matinale, Que Dit la Bible ?, Je Confesse et La Vie Supérieure — quatre formats, un seul message. »), une constante codée en dur (const description) jamais recontrôlée mot pour mot depuis la reconstruction du 11/09 — le niveau CONTENU avait été ignoré au profit du seul style. Texte de la maquette restauré à l'identique (contenu statique des deux côtés)"
PUB.03,PUB-S1 Hero (.pub-hero),4 tuiles de catégories — libellés et micro-labels,Examiner/Approfondir/Commencer le jour/Proclamer + noms de rubriques,.v2-pub-hero-links,CONFORME,CONFORME,CONFORME,CONFORME,re-vérifié : conforme (déjà corrigé au 1er passage)
PUB.04,PUB-S1 Hero (.pub-hero),"Géométrie hero (grille 2 colonnes, largeurs, h1)",".pub-hero-inner : grid .62fr/1.38fr, gap 64px ; h1 clamp(52,6.2vw,82)",.v2-pub-hero-inner,CONFORME,CONFORME,CONFORME,CONFORME,getBoundingClientRect() comparé : x=50/w=1180/grille .62fr 1.38fr identiques des deux côtés
PUB.05,PUB-S2 Flux principal (.feed-section),Bloc entier — présence/ordre (liste + pagination),.content-feed-wrap (.feed-list + .pagination),.v2-pub-page .feed-section .content-col,CONFORME,CONFORME,CONFORME,CONFORME,"ÉCART RÉEL MAJEUR CORRIGÉ (validation humaine) : la composition (niveau C) n'avait jamais été comparée conteneur à conteneur — seuls les éléments atomisés (badges, dates, titres) avaient été mesurés individuellement puis déclarés conformes. Le conteneur réel utilisait .content-col générique (max-width 695px, hérité des pages article) au lieu de .content-feed-wrap propre à ce hub (max-width 940px) : getBoundingClientRect() révèle x=293/w=695 en V2 contre x=170/w=940 en maquette — flux visiblement plus centré/étroit, décalé sous l'axe du Hero. Corrigé par une règle scopée .v2-pub-page .feed-section .content-col{max-width:940px}, sans toucher .content-col ailleurs"
PUB.06,PUB-S2 Flux principal (.feed-section),4 raccourcis (3 Que dit la Bible + 1 La Vie Supérieure) — bon type au bon endroit,badges/types réels du flux chronologique,"getArticlesFeed([qdlb,vs])",CONFORME,CONFORME,CONFORME,CONFORME,"vérifié : répartition réelle des types conforme à la donnée (flux chronologique réel, pas une répartition fixée en dur) ; badges qdlb/vs corrects sur chaque carte"
PUB.07,PUB-S2 Flux principal (.feed-section),Typographie des cartes (badge/titre/date/vues/CTA),".feed-entry (cascade ""Hubs éditoriaux"")",.v2-pub-page .feed-item,CONFORME,CONFORME,CONFORME,CONFORME,"re-vérifié après correction de la largeur du conteneur (PUB.05) : aucune régression de style, valeurs identiques à la maquette"
PUB.08,PUB-S2 Flux principal (.feed-section),Pagination — présence conditionnelle,affichée seulement si plus d'une page,total > PER_PAGE,CONFORME,CONFORME,CONFORME,CONFORME,déjà corrigé au 1er passage (voir aussi La Vie Supérieure)
PUB.09,PUB-S3 Cartes du jour (.daily-reminders / .daily-reminder-grid),"Bloc entier — présence/ordre, 2 colonnes",.daily-reminders (.wrap 1180px > .daily-reminder-grid 2 col),.v2-pub-page .rm-reminder,CONFORME,CONFORME,CONFORME,CONFORME,ÉCART RÉEL MAJEUR CORRIGÉ (validation humaine) : le conteneur utilisait la même classe .content-col (695px) que le flux principal au lieu du .wrap pleine largeur (1180px) de la maquette — jamais comparé au niveau conteneur. Corrigé en remplaçant .content-col par .v2-wrap (reproduit .wrap) sur cette section uniquement
PUB.10,PUB-S3 Cartes du jour (.daily-reminders / .daily-reminder-grid),Géométrie des cartes — ratio largeur/hauteur,".dew-reminder/.confess-reminder : 581×361 (ratio ~1.6, rectangle horizontal), min-height 280px",.v2-pub-page .daily-reminder-grid .feed-item,CONFORME,CONFORME,CONFORME,CONFORME,"ÉCART RÉEL MAJEUR CORRIGÉ : mesuré AVANT correction à 339×760 (ratio 0.45, portrait très allongé) — deux causes cumulées : (1) conteneur trop étroit (PUB.09), (2) chapô trop long pour ce format compact, le composant partagé PublicationFeedItem appliquant le même plancher ""3 lignes minimum"" que le flux principal, jamais adapté au format carte. Corrigé : largeur restaurée à 581px (PUB.09) + troncature CSS à 2 lignes scopée à .daily-reminder-grid .excerpt-desktop (jamais dans le composant partagé, aucun impact sur l'accueil/les autres hubs). Résultat mesuré : 581×280 (ratio 2.08), rectangle horizontal conforme à l'esprit de la maquette — la hauteur exacte (361px) dépend du texte réel de la donnée (plus long en V2 que l'exemple statique de la maquette) et ne peut être répliquée au pixel près sans fabriquer de contenu ; 280px correspond exactement au min-height:280px déclaré par la maquette elle-même"
